Date,Open,High,Low,Close,Adj Close,Volume
1987-07-24,28.273184,28.523390,28.210632,28.398287,11.337794,1896843
1987-07-27,28.460838,28.648493,28.273184,28.585939,11.412710,1746766
1987-07-28,28.773594,28.961248,28.585939,28.898697,11.537579,2857655
1987-07-29,29.086351,29.461658,28.898697,29.336555,11.712382,3197376
1987-07-30,29.461658,29.774414,29.148903,29.524210,11.787313,3157409
1987-07-31,29.586761,29.711864,29.461658,29.649311,11.837262,2637835
1987-08-03,29.148903,29.649311,29.023800,29.336555,11.712382,3517114
1987-08-04,29.274006,29.461658,28.773594,28.961248,11.562550,2338081
1987-08-05,29.086351,29.586761,29.023800,29.524210,11.787313,2677802
1987-08-06,29.586761,30.399927,29.336555,30.399927,12.136937,3876818
1987-08-07,30.274824,30.274824,29.899517,30.212275,12.062010,3057491
1987-08-10,30.087172,30.962891,30.024620,30.962891,12.361692,3077474
1987-08-11,31.025440,32.401569,31.025440,32.213917,12.861146,6035047
1987-08-12,32.151363,32.151363,31.463301,31.776056,12.686342,5735293
1987-08-13,31.776056,32.213917,31.776056,32.151363,12.836186,4076654
1987-08-14,31.838608,32.464123,31.713505,32.026260,12.786230,3956753
1987-08-17,32.088814,32.589222,32.088814,32.589222,13.010992,2717770
1987-08-18,32.339020,32.464123,30.650133,31.776056,12.686342,5455523
1987-08-19,31.588402,32.526672,31.213095,31.963711,12.761266,3257327
1987-08-20,32.339020,32.964531,32.151363,32.964531,13.160833,3297294
1987-08-21,32.901981,33.214737,32.589222,32.839428,13.110880,5055851
1987-08-24,32.839428,32.964531,32.276466,32.276466,12.886125,2575886
1987-08-25,32.526672,33.027081,32.464123,32.839428,13.110880,2817688
1987-08-26,32.839428,32.901981,32.026260,32.088814,12.811211,2837671
1987-08-27,32.026260,32.213917,31.463301,31.463301,12.561476,2971561
1987-08-28,31.338198,31.525850,31.025440,31.275646,12.486555,2859653
1987-08-31,31.150543,31.901159,31.087992,31.275646,12.486555,3764910
1987-09-01,31.463301,31.713505,29.774414,30.274824,12.086990,3615033
1987-09-02,30.212275,30.650133,30.024620,30.274824,12.086990,7048216
1987-09-03,30.525030,30.587582,29.962069,30.525030,12.186884,4212543
1987-09-04,30.525030,30.712685,29.774414,29.836966,11.912169,3347253
1987-09-08,29.586761,29.774414,28.648493,29.774414,11.887204,6154949
1987-09-09,29.836966,30.087172,29.461658,30.024620,11.987090,4256507
1987-09-10,30.274824,30.587582,30.212275,30.399927,12.136937,3976736
1987-09-11,30.587582,30.962891,30.525030,30.650133,12.236820,4196556
1987-09-14,30.962891,31.025440,30.337378,30.775236,12.286774,2497950
1987-09-15,30.712685,30.712685,29.774414,29.899517,11.937153,2577884
1987-09-16,29.524210,30.399927,29.274006,29.524210,11.787313,4196556
1987-09-17,29.962069,30.149723,29.586761,29.899517,11.937153,3337261
1987-09-18,30.212275,30.212275,29.899517,29.962069,11.962121,4076654
1987-09-21,30.149723,30.712685,29.649311,29.836966,11.912169,3337261
1987-09-22,29.962069,31.275646,29.461658,31.275646,12.486555,3976736
1987-09-23,31.275646,31.400749,30.712685,31.025440,12.452413,4676162
1987-09-24,30.775236,31.087992,30.337378,30.525030,12.251568,2457983
1987-09-25,30.650133,30.837788,30.525030,30.650133,12.301771,2657819
1987-09-28,31.025440,31.463301,30.775236,31.150543,12.502628,4276490
1987-09-29,31.275646,31.400749,30.399927,30.650133,12.301771,2897622
1987-09-30,30.399927,31.213095,30.337378,30.775236,12.351988,3936769
1987-10-01,30.775236,31.275646,30.775236,31.150543,12.502628,2814690
1987-10-02,31.150543,31.400749,31.087992,31.213095,12.527729,2677603
1987-10-05,31.275646,31.338198,30.900337,31.338198,12.577943,2453387
1987-10-06,31.213095,31.275646,29.774414,29.899517,12.000514,3825860
1987-10-07,30.024620,30.775236,29.899517,30.712685,12.326882,4084648
1987-10-08,30.712685,30.775236,29.524210,30.149723,12.100933,4303868
1987-10-09,29.962069,30.149723,29.148903,29.148903,11.699244,3687374
1987-10-12,29.023800,29.649311,28.585939,29.274006,11.749457,2838670
1987-10-13,29.711864,29.774414,29.211452,29.711864,11.925197,3680180
1987-10-14,29.211452,29.336555,28.022980,28.523390,11.448185,4712932
1987-10-15,27.710222,28.398287,26.834503,26.897057,10.795442,7171115
1987-10-16,27.334915,27.397467,24.895414,25.395824,10.192903,9188459
1987-10-19,21.017235,25.020517,19.390902,20.954683,8.410401,14500100
1987-10-20,23.269081,23.519285,20.016413,22.706120,9.113358,14368208
1987-10-21,24.770311,25.520927,24.395004,25.270721,10.142693,11790124
1987-10-22,21.517645,24.957966,21.517645,23.581837,9.464839,10637470
1987-10-23,23.018875,24.144798,22.893772,23.331633,9.364417,4729519
1987-10-26,22.268259,22.455914,21.329990,21.329990,8.561036,5699123
1987-10-27,23.018875,23.269081,21.517645,21.892952,8.786983,5615192
1987-10-28,21.079784,23.018875,21.017235,21.955503,8.812089,7022237
1987-10-29,22.018055,23.331633,21.892952,22.831223,9.163570,4970321
1987-10-30,24.269901,24.395004,23.519285,23.706940,9.515049,5561236
1987-11-02,22.768669,23.769491,22.768669,23.581837,9.464839,2784715
1987-11-03,23.143978,23.143978,22.018055,22.768669,9.138463,4206947
1987-11-04,22.268259,22.768669,22.018055,22.018055,8.837201,4618410
1987-11-05,21.955503,23.706940,21.892952,23.456736,9.414629,5052254
1987-11-06,23.519285,23.894594,23.018875,23.081427,9.263994,4618010
1987-11-09,22.455914,22.706120,22.080606,22.143156,8.887405,4493312
1987-11-10,21.580196,22.268259,21.517645,21.705297,8.711665,4993102
1987-11-11,22.018055,22.518465,21.767851,21.955503,8.812089,2811093
1987-11-12,22.893772,23.206530,22.518465,23.143978,9.289099,5492692
1987-11-13,23.143978,23.394182,22.956324,23.018875,9.238891,2903018
1987-11-16,23.456736,23.519285,22.643568,22.706120,9.113358,3215161
1987-11-17,22.330811,22.518465,22.018055,22.518465,9.038044,3762912
1987-11-18,22.643568,22.768669,22.080606,22.768669,9.138463,3258326
1987-11-19,22.330811,22.643568,22.080606,22.205709,8.912515,2941986
1987-11-20,21.955503,22.768669,21.892952,22.643568,9.088250,4305467
1987-11-23,22.518465,22.706120,22.455914,22.643568,9.088250,2317898
1987-11-24,22.956324,23.143978,21.892952,22.831223,9.163570,3037307
1987-11-25,22.768669,23.081427,22.643568,22.643568,9.088250,2148037
1987-11-27,22.330811,22.518465,21.830400,21.955503,8.812089,2087887
1987-11-30,21.267439,21.392542,20.579374,21.204887,8.510826,6393553
1987-12-01,21.017235,21.642748,21.017235,21.017235,8.505760,3009330
1987-12-02,20.892132,21.142338,20.704477,20.829580,8.429815,3403407
1987-12-03,20.829580,20.892132,19.953861,19.953861,8.075413,4812451
1987-12-04,19.891312,20.266619,19.516003,20.016413,8.100724,5917344
1987-12-07,20.204067,20.767029,20.141516,20.767029,8.404500,3162605
1987-12-08,20.641926,21.204887,20.579374,21.142338,8.556387,3655000
1987-12-09,20.954683,22.018055,20.954683,21.955503,8.885481,5379985
1987-12-10,21.142338,22.205709,21.142338,21.392542,8.657652,5042062
1987-12-11,21.455093,21.830400,21.329990,21.830400,8.834851,2808695
1987-12-14,21.830400,22.643568,21.830400,22.643568,9.163942,3851439
1987-12-15,22.643568,23.018875,22.518465,22.768669,9.214571,4721325
1987-12-16,22.831223,23.331633,22.706120,23.331633,9.442411,3944763
1987-12-17,23.269081,23.331633,22.518465,22.518465,9.113318,3608638
1987-12-18,22.831223,23.143978,22.643568,22.956324,9.290519,6119578
1987-12-21,23.143978,23.456736,23.018875,23.018875,9.315831,5927735
1987-12-22,22.956324,23.706940,22.831223,23.644388,9.568984,4773682
1987-12-23,23.581837,23.706940,23.081427,23.394182,9.467725,3049497
1987-12-24,23.081427,23.206530,22.956324,23.018875,9.315831,1271357
1987-12-28,22.518465,22.643568,22.268259,22.455914,9.088003,2671008
1987-12-29,22.393364,22.455914,22.143156,22.143156,8.961426,2218180
1987-12-30,22.330811,22.706120,22.330811,22.581017,9.138630,2553904
1987-12-31,22.018055,22.455914,21.955503,22.080606,8.936115,2757337
1988-01-04,22.330811,23.456736,22.330811,23.269081,9.417088,3635417
1988-01-05,23.769491,23.957146,23.331633,23.394182,9.467725,3113645
1988-01-06,23.456736,23.769491,23.206530,23.519285,9.518353,2690792
1988-01-07,23.143978,23.769491,23.081427,23.644388,9.568984,2934392
1988-01-08,23.456736,23.581837,21.517645,21.705297,8.784223,3914587
1988-01-11,21.955503,22.455914,21.517645,22.143156,8.961426,4671766
1988-01-12,22.080606,22.143156,21.392542,22.018055,8.910795,4239121
1988-01-13,21.830400,22.768669,21.642748,22.143156,8.961426,3640612
1988-01-14,22.080606,22.455914,22.080606,22.268259,9.012054,2378648
1988-01-15,23.081427,23.331633,23.018875,23.143978,9.366465,5373990
1988-01-18,23.269081,23.394182,22.768669,23.143978,9.366465,1701204
1988-01-19,22.831223,23.269081,22.768669,22.768669,9.214571,2576486
1988-01-20,22.518465,22.643568,21.642748,21.767851,8.809540,3320875
1988-01-21,21.892952,21.955503,21.142338,21.642748,8.758910,3465556
1988-01-22,21.892952,22.143156,21.830400,22.143156,8.961426,2371654
1988-01-25,22.143156,22.455914,22.018055,22.143156,8.961426,2617852
1988-01-26,22.018055,22.205709,21.642748,21.705297,8.784223,1764152
1988-01-27,21.830400,22.018055,21.267439,21.329990,8.632333,2777720
1988-01-28,21.517645,22.080606,21.517645,22.080606,8.936115,2398032
1988-01-29,22.018055,22.643568,21.830400,22.581017,9.138630,3236344
1988-02-01,22.706120,22.768669,21.955503,22.018055,8.910795,2358065
1988-02-02,21.830400,22.205709,21.767851,22.080606,8.936115,2709177
1988-02-03,22.080606,22.330811,21.329990,21.517645,8.708277,3098657
1988-02-04,21.517645,21.830400,21.267439,21.767851,8.809540,2929995
1988-02-05,21.705297,21.955503,21.142338,21.267439,8.607018,1998360
1988-02-08,21.079784,21.392542,20.954683,21.142338,8.556387,2335084
1988-02-09,21.079784,21.329990,20.767029,21.329990,8.632333,2764531
1988-02-10,21.267439,21.642748,20.892132,21.642748,8.758910,3335663
1988-02-11,21.455093,22.143156,21.329990,21.580196,8.733594,3537897
